CADSync AI Air Filter Input Test Suite
Generated set: 50 separate Excel files
Each workbook contains sheets: Geometry, HolePatterns, Features, Configurations, Metadata

01. 01_AF_PANEL_001.xlsx | Category=Valid-Production | Expected=PASS | Part_ID=AF_PANEL_001 | LxWxH=194.0x127.0x7.0 mm | Structure=frame | Holes=4 x Dia 5.8 mm | Material=Galvanized_Steel | Tolerance=0.05 mm | Description=Standard air-filter panel variant 1 for production baseline testing.
02. 02_AF_PANEL_002.xlsx | Category=Valid-Production | Expected=PASS | Part_ID=AF_PANEL_002 | LxWxH=208.0x134.0x8.0 mm | Structure=flange_box | Holes=6 x Dia 7.6 mm | Material=Stainless_304 | Tolerance=0.07 mm | Description=Standard air-filter panel variant 2 for production baseline testing.
03. 03_AF_PANEL_003.xlsx | Category=Valid-Production | Expected=PASS | Part_ID=AF_PANEL_003 | LxWxH=222.0x141.0x9.0 mm | Structure=baffle_channel | Holes=8 x Dia 9.4 mm | Material=PowderCoated_Steel | Tolerance=0.09 mm | Description=Standard air-filter panel variant 3 for production baseline testing.
04. 04_AF_PANEL_004.xlsx | Category=Valid-Production | Expected=PASS | Part_ID=AF_PANEL_004 | LxWxH=236.0x148.0x10.0 mm | Structure=manifold | Holes=10 x Dia 11.2 mm | Material=ABS_Polymer | Tolerance=0.03 mm | Description=Standard air-filter panel variant 4 for production baseline testing.
05. 05_AF_PANEL_005.xlsx | Category=Valid-Production | Expected=PASS | Part_ID=AF_PANEL_005 | LxWxH=250.0x155.0x11.0 mm | Structure=cyclone_mount | Holes=12 x Dia 4.0 mm | Material=Aluminum_6061 | Tolerance=0.05 mm | Description=Standard air-filter panel variant 5 for production baseline testing.
06. 06_AF_PANEL_006.xlsx | Category=Valid-Production | Expected=PASS | Part_ID=AF_PANEL_006 | LxWxH=264.0x162.0x12.0 mm | Structure=service_door | Holes=0 x Dia 5.8 mm | Material=Galvanized_Steel | Tolerance=0.07 mm | Description=Standard air-filter panel variant 6 for production baseline testing.
07. 07_AF_PANEL_007.xlsx | Category=Valid-Production | Expected=PASS | Part_ID=AF_PANEL_007 | LxWxH=278.0x169.0x13.0 mm | Structure=cartridge_grid | Holes=4 x Dia 7.6 mm | Material=Stainless_304 | Tolerance=0.09 mm | Description=Standard air-filter panel variant 7 for production baseline testing.
08. 08_AF_PANEL_008.xlsx | Category=Valid-Production | Expected=PASS | Part_ID=AF_PANEL_008 | LxWxH=292.0x176.0x6.0 mm | Structure=frame | Holes=6 x Dia 9.4 mm | Material=PowderCoated_Steel | Tolerance=0.03 mm | Description=Standard air-filter panel variant 8 for production baseline testing.
09. 09_AF_PANEL_009.xlsx | Category=Valid-Production | Expected=PASS | Part_ID=AF_PANEL_009 | LxWxH=306.0x183.0x7.0 mm | Structure=flange_box | Holes=8 x Dia 11.2 mm | Material=ABS_Polymer | Tolerance=0.05 mm | Description=Standard air-filter panel variant 9 for production baseline testing.
10. 10_AF_PANEL_010.xlsx | Category=Valid-Production | Expected=PASS | Part_ID=AF_PANEL_010 | LxWxH=320.0x190.0x8.0 mm | Structure=baffle_channel | Holes=10 x Dia 4.0 mm | Material=Aluminum_6061 | Tolerance=0.07 mm | Description=Standard air-filter panel variant 10 for production baseline testing.
11. 11_AF_PANEL_011.xlsx | Category=Valid-Production | Expected=PASS | Part_ID=AF_PANEL_011 | LxWxH=334.0x197.0x9.0 mm | Structure=manifold | Holes=12 x Dia 5.8 mm | Material=Galvanized_Steel | Tolerance=0.09 mm | Description=Standard air-filter panel variant 11 for production baseline testing.
